week_num,year_num,starting_week_date,post_reward_week_num,num_rides_pre_existing,cum_rides_pre_existing,pre_existing_rider_lift,pre_existing_incr_rides,num_rides_new_pp,cum_rides_new_pp,new_rider_pp_lift,pp_counterfactual_rides,pp_addl_rides,pp_incre_rides_from_counterfactual,pp_incre_rides_from_addl,num_rides_new_np,cum_rides_new_np,np_counterfactual_rides,np_addl_rides,np_incre_rides_from_counterfactual,np_incre_rides_from_addl,total_incre_rides,cum_total_incre_rides,total_observed_rides,cum_total_observed_rides,cum_baseline_rides,progress_t_target
32,2025,2025-08-04,0,71141,71141,0.0023,163.24882769629792,2514,2514,1.833,2514.0,0.0,5.7689314576473905,0.0,173,173,173.0,0.0,0.3969869300608586,0.0,169.41474608400617,169.41474608400617,73828,73828,73658.585253916,0.00023731078575251532
33,2025,2025-08-11,1,69991,141132,0.0023,160.6098972363558,3120,5634,1.833,3120.0,0.0,7.159533073929936,0.0,356,529,356.0,0.0,0.8169210815125183,0.0,168.58635139179825,338.0010974758044,73467,147295,146956.99890252418,0.0004734611825786523
34,2025,2025-08-18,2,69816,210948,0.0023,160.2083208620168,3787,9421,1.833,3583.06048053024,203.93951946975994,8.22212821033575,131.95239646596187,480,1009,480.0,0.0,1.1014666267584516,0.0,301.4843121650729,639.4854096408773,74083,221378,220738.51459035912,0.0008957708142117419
35,2025,2025-08-25,3,67417,278365,0.0023,154.70328245036362,4121,13542,1.833,4121.0,0.0,9.456549935149123,0.0,478,1487,478.0,0.0,1.0968771824802914,0.0,165.25670956799303,804.7421192088702,72016,293394,292589.25788079115,0.0011272571547160646
36,2025,2025-09-01,4,63875,342240,0.0023,146.57537663374188,4062,17604,1.833,4062.0,0.0,9.321161328943397,0.0,552,2039,552.0,0.0,1.2666866207722194,0.0,157.1632245834575,961.9053437923277,68489,361883,360921.09465620766,0.0013474063989784586
37,2025,2025-09-08,5,78497,420737,0.0023,180.1288037513712,6336,23940,1.833,5732.571428571428,603.4285714285716,13.154658571000937,390.42872270687315,741,2780,741.0,0.0,1.7003891050583597,0.0,585.4125741343037,1547.3179179266313,85574,447457,445909.68208207336,0.0021674337057415124
38,2025,2025-09-15,6,81658,502395,0.0023,187.38242043300343,7777,31717,1.833,6878.0331125827815,898.9668874172185,15.78317485676977,581.6471248273073,943,3723,893.6569767441861,49.34302325581393,2.050694449278281,49.34302325581393,836.2064378221727,2383.524355748804,90378,537835,535451.4756442512,0.0033387650768164517
39,2025,2025-09-22,7,76792,579187,0.0023,176.21630250423962,7533,39250,1.833,6951.851528384279,581.1484716157211,15.952567609781287,376.013112767955,945,4668,901.1920529801324,43.80794701986758,2.067985355536563,43.80794701986758,614.05791525738,2997.582271006184,85270,623105,620107.4177289938,0.004198917865966353
40,2025,2025-09-29,8,74178,653365,0.0023,170.21789883268423,7691,46941,1.833,6970.731746031746,720.2682539682537,15.995892463207582,466.0260181870134,957,5625,714.9352941176471,242.06470588235288,1.6405778474215131,242.06470588235288,895.9450932126796,3893.5273642188636,82826,705931,702037.4726357812,0.0054539292447042045
41,2025,2025-10-06,9,79520,732885,0.013,1020.4935834155852,9493,56434,1.287,7887.340865074241,1605.6591349257587,101.21957674823685,903.578183930674,1233,6858,961.1076923076923,271.89230769230767,12.334057255676065,271.89230769230767,2309.5177090424795,6203.045073261343,90246,796177,789973.9549267386,0.0086890281656119
42,2025,2025-10-13,10,80402,813287,0.006,479.5347912524823,9745,66179,1.129,8547.109634551494,1197.8903654485057,50.97679702515772,635.2363657075448,1111,7969,1111.0,0.0,6.626242544731571,0.0,1172.3741965299164,7375.419269791259,91258,887435,880059.5807302088,0.010331252636653703
43,2025,2025-10-20,11,80473,893760,0.0167,1321.824628700693,10771,76950,1.2154,9304.525821596244,1466.474178403756,152.8332656837382,804.5286252739572,1438,9407,1190.3444444444444,247.65555555555557,19.55222998153058,247.65555555555557,2546.3943051954748,9921.813574986732,92682,980117,970195.1864250132,0.013898160756340202
44,2025,2025-10-27,12,78986,972746,0.0167,1297.3996262417572,11957,88907,1.2154,9300.82581100141,2656.1741889985897,152.77249045315523,1457.2149992366549,1340,10747,1070.4597701149426,269.54022988505744,17.583041370039805,269.54022988505744,3194.510387186664,13116.323962173396,92283,1072400,1059283.6760378266,0.018372929261449733
